"date","pool_size"
"2021-02-09 05:03:06.610",0
"2021-02-09 05:03:06.612",1
"2021-02-09 05:03:06.616",2
"2021-02-09 05:03:06.617",3
"2021-02-09 05:03:06.617",4
"2021-02-09 05:03:06.630",5
"2021-02-09 05:03:08.241",6
"2021-02-09 05:03:08.241",7
"2021-02-09 05:03:08.241",8
"2021-02-09 05:03:08.271",9
"2021-02-09 05:03:08.271",10
"2021-02-09 05:03:08.271",11
"2021-02-09 05:04:06.772",6
"2021-02-09 05:04:06.773",7
"2021-02-09 05:04:06.773",8
"2021-02-09 05:05:06.662",3
"2021-02-09 05:05:06.663",4
"2021-02-09 05:05:06.664",5
"2021-02-09 05:06:06.672",0
"2021-02-09 05:06:06.672",1
"2021-02-09 05:06:06.672",2
"2021-02-09 05:07:06.677",0
"2021-02-09 05:07:06.677",1
"2021-02-09 05:07:06.677",2
"2021-02-09 05:08:06.710",0
"2021-02-09 05:08:06.710",1
"2021-02-09 05:08:06.710",2
"2021-02-09 05:09:06.703",3
"2021-02-09 05:09:06.703",4
"2021-02-09 05:09:06.703",5
"2021-02-09 05:10:06.707",0
"2021-02-09 05:10:06.707",1
"2021-02-09 05:10:06.708",2
"2021-02-09 05:11:06.705",3
"2021-02-09 05:11:06.705",4
"2021-02-09 05:11:06.706",5
"2021-02-09 05:12:06.715",0
"2021-02-09 05:12:06.715",1
"2021-02-09 05:12:06.715",2
"2021-02-09 05:13:06.727",0
"2021-02-09 05:13:06.729",1
"2021-02-09 05:13:06.729",2
"2021-02-09 05:14:06.739",0
"2021-02-09 05:14:06.739",1
"2021-02-09 05:14:06.739",2
"2021-02-09 05:15:06.745",0
"2021-02-09 05:15:06.745",1
"2021-02-09 05:15:06.745",2
"2021-02-09 05:16:06.760",0
"2021-02-09 05:16:06.760",1
"2021-02-09 05:16:06.761",2
"2021-02-09 05:17:06.772",0
"2021-02-09 05:17:06.772",1
"2021-02-09 05:17:06.772",2
"2021-02-09 05:18:06.772",3
"2021-02-09 05:18:06.772",4
"2021-02-09 05:18:06.773",5
"2021-02-09 05:19:06.780",0
"2021-02-09 05:19:06.780",1
"2021-02-09 05:19:06.780",2
"2021-02-09 05:20:06.798",0
"2021-02-09 05:20:06.798",1
"2021-02-09 05:20:06.800",2
"2021-02-09 05:21:06.807",0
"2021-02-09 05:21:06.807",1
"2021-02-09 05:21:06.807",2
"2021-02-09 05:22:06.811",0
"2021-02-09 05:22:06.811",1
"2021-02-09 05:22:06.811",2
"2021-02-09 05:23:06.817",0
"2021-02-09 05:23:06.817",1
"2021-02-09 05:23:06.819",2
"2021-02-09 05:24:06.841",0
"2021-02-09 05:24:06.841",1
"2021-02-09 05:24:06.842",2
"2021-02-09 05:25:06.837",3
"2021-02-09 05:25:06.837",4
"2021-02-09 05:25:06.837",5
"2021-02-09 05:26:06.829",3
"2021-02-09 05:26:06.829",4
"2021-02-09 05:26:06.829",5
"2021-02-09 05:27:06.855",0
"2021-02-09 05:27:06.855",1
"2021-02-09 05:27:06.856",2
"2021-02-09 05:28:06.852",3
"2021-02-09 05:28:06.852",4
"2021-02-09 05:28:06.853",5
"2021-02-09 05:29:06.860",0
"2021-02-09 05:29:06.861",2
"2021-02-09 05:29:06.861",1
"2021-02-09 05:30:06.864",1
"2021-02-09 05:30:06.864",2
"2021-02-09 05:30:06.865",3
"2021-02-09 05:31:06.880",0
"2021-02-09 05:31:06.880",1
"2021-02-09 05:31:06.881",2
"2021-02-09 05:32:06.886",0
"2021-02-09 05:32:06.886",1
"2021-02-09 05:32:06.886",2
"2021-02-09 05:33:06.904",0
